Data Medicao,Hora Medicao,RADIACAO GLOBAL(Kj/m²),TEMPERATURA DO AR - BULBO SECO HORARIA(°C),TEMPERATURA DO AR - BULBO SECO HORARIA(°C),VENTO  RAJADA MAXIMA(m/s)
1/1/2015,0:00:00,null,25.2,80,5
1/1/2015,1:00:00,null,24.5,84,3.7
1/1/2015,2:00:00,null,24.2,86,3.4
1/1/2015,3:00:00,null,24,86,3.3
1/1/2015,4:00:00,null,23.5,88,2.9
1/1/2015,5:00:00,null,23.6,88,4.1
1/1/2015,6:00:00,null,23.1,90,3.1
1/1/2015,7:00:00,null,22.5,91,2.5
1/1/2015,8:00:00,null,22.1,92,2.1
1/1/2015,9:00:00,null,21.8,93,1.5
1/1/2015,10:00:00,null,24,92,2
1/1/2015,11:00:00,null,27.5,72,6.6
1/1/2015,12:00:00,null,28.4,64,8.2
1/1/2015,13:00:00,null,30.4,55,8.2
1/1/2015,14:00:00,null,32,51,8.4
1/1/2015,15:00:00,null,32.2,50,8.8
1/1/2015,16:00:00,null,32.2,47,11.3
1/1/2015,17:00:00,null,31.3,54,11
1/1/2015,18:00:00,null,31.6,52,11.3
1/1/2015,19:00:00,null,30.2,56,11.1
1/1/2015,20:00:00,null,28.5,63,11.1
1/1/2015,21:00:00,null,27,72,11.1
1/1/2015,22:00:00,null,26.5,76,9.2
1/1/2015,23:00:00,null,26.3,78,8.4
1/2/2015,0:00:00,null,26.1,79,7.3
1/2/2015,1:00:00,null,25.5,81,6
1/2/2015,2:00:00,null,25.1,82,4.6
1/2/2015,3:00:00,null,23.9,85,2.5
1/2/2015,4:00:00,null,23.2,88,1.8
1/2/2015,5:00:00,null,23.2,88,1.7
1/2/2015,6:00:00,null,23.5,89,1.6
1/2/2015,7:00:00,null,23.2,90,2.7
1/2/2015,8:00:00,null,22.9,91,3
1/2/2015,9:00:00,null,22.5,92,2.8
1/2/2015,10:00:00,null,24.7,88,3.5
1/2/2015,11:00:00,null,27.6,70,6.4
1/2/2015,12:00:00,null,29.4,58,6.5
1/2/2015,13:00:00,null,31,47,7.5
1/2/2015,14:00:00,324.912,32.5,41,8.9
1/2/2015,15:00:00,null,32.5,40,10.1
1/2/2015,16:00:00,null,32.4,46,10
1/2/2015,17:00:00,null,33.2,44,9.3
1/2/2015,18:00:00,null,32.5,45,9.8
1/2/2015,19:00:00,null,30.7,50,9.9
1/2/2015,20:00:00,null,28.8,58,9.8
1/2/2015,21:00:00,null,27,65,10
1/2/2015,22:00:00,null,26,71,8.4
1/2/2015,23:00:00,null,25.5,72,6
1/3/2015,0:00:00,null,24.8,76,2.9
1/3/2015,1:00:00,null,24.9,78,2.8
1/3/2015,2:00:00,null,24.5,78,1.5
1/3/2015,3:00:00,null,23.8,80,1.9
1/3/2015,4:00:00,null,23.8,82,1.9
1/3/2015,5:00:00,null,23.6,83,2.2
1/3/2015,6:00:00,null,23.8,84,2.3
1/3/2015,7:00:00,null,23.2,86,2.3
1/3/2015,8:00:00,null,23,88,2.5
1/3/2015,9:00:00,null,22.2,88,2.5
1/3/2015,10:00:00,null,24,87,1
1/3/2015,11:00:00,null,26,75,2.2
1/3/2015,12:00:00,null,27.8,64,5
1/3/2015,13:00:00,null,28.6,59,6.9
1/3/2015,14:00:00,null,28.4,59,6.1
1/3/2015,15:00:00,null,28.6,58,6.1
1/3/2015,16:00:00,null,27.3,67,5.3
1/3/2015,17:00:00,null,27.4,70,7.9
1/3/2015,18:00:00,null,24.6,83,7.9
1/3/2015,19:00:00,null,25.7,76,6.7
1/3/2015,20:00:00,null,25.9,75,5.5
1/3/2015,21:00:00,null,25.4,83,5.1
1/3/2015,22:00:00,null,25.2,85,4
1/3/2015,23:00:00,null,24.9,84,2.6
1/4/2015,0:00:00,null,24.3,85,2.5
1/4/2015,1:00:00,null,24.1,88,2.1
1/4/2015,2:00:00,null,23.5,89,1.8
1/4/2015,3:00:00,null,23.2,90,1.4
1/4/2015,4:00:00,null,23,91,1.5
1/4/2015,5:00:00,null,22.7,92,1.7
1/4/2015,6:00:00,null,22.6,92,1.9
1/4/2015,7:00:00,null,22.2,93,2.3
1/4/2015,8:00:00,null,22.1,94,2.3
1/4/2015,9:00:00,null,22.7,94,2.2
1/4/2015,10:00:00,null,25,91,2.5
1/4/2015,11:00:00,null,27.1,72,6.2
1/4/2015,12:00:00,null,28.2,64,7
1/4/2015,13:00:00,null,30.7,53,10
1/4/2015,14:00:00,null,31.1,47,9.3
1/4/2015,15:00:00,null,30.4,51,9.5
1/4/2015,16:00:00,null,32.4,42,10.4
1/4/2015,17:00:00,null,30.1,48,10.4
1/4/2015,18:00:00,null,29.9,49,10
1/4/2015,19:00:00,null,29.9,50,10.2
1/4/2015,20:00:00,null,28.5,50,9
1/4/2015,21:00:00,null,27.2,60,8
1/4/2015,22:00:00,null,26.1,68,7.4
1/4/2015,23:00:00,null,25.5,72,5.3
1/5/2015,0:00:00,null,24.9,76,3.1
1/5/2015,1:00:00,null,24.3,79,2.1
1/5/2015,2:00:00,null,24.4,80,3.3
1/5/2015,3:00:00,null,24.1,81,3.3
1/5/2015,4:00:00,null,24,82,3.3
1/5/2015,5:00:00,null,23.6,83,3.3
1/5/2015,6:00:00,null,22.8,86,3.6
1/5/2015,7:00:00,null,22.5,88,3
1/5/2015,8:00:00,null,22,90,3.4
1/5/2015,9:00:00,null,21.8,91,3.8
1/5/2015,10:00:00,null,24.6,84,4.7
1/5/2015,11:00:00,null,27.8,68,7.1
1/5/2015,12:00:00,null,28.8,58,9.1
1/5/2015,13:00:00,null,29.9,51,9.5
1/5/2015,14:00:00,null,31.1,43,9.5
1/5/2015,15:00:00,null,32.4,37,9.8
1/5/2015,16:00:00,null,33.4,35,9.8
1/5/2015,17:00:00,19.221,33.7,42,10.6
1/5/2015,18:00:00,null,32.1,41,10.3
1/5/2015,19:00:00,null,30.5,42,10.9
1/5/2015,20:00:00,null,28.7,53,11
1/5/2015,21:00:00,null,27.1,65,11.5
1/5/2015,22:00:00,null,26.4,69,10.7
1/5/2015,23:00:00,null,25.9,74,8.6
1/6/2015,0:00:00,null,25.6,77,7.4
1/6/2015,1:00:00,null,25.1,80,6.5
1/6/2015,2:00:00,null,24.4,82,5.4
1/6/2015,3:00:00,null,23.6,86,4.6
1/6/2015,4:00:00,null,23.6,87,5.1
1/6/2015,5:00:00,null,23.6,88,4.6
1/6/2015,6:00:00,null,23.7,88,5.6
1/6/2015,7:00:00,null,23.5,89,6.3
1/6/2015,8:00:00,null,23.3,90,5.1
1/6/2015,9:00:00,null,23.4,90,3.9
1/6/2015,10:00:00,null,25,86,3.9
1/6/2015,11:00:00,null,27.5,74,7.3
1/6/2015,12:00:00,null,28.2,65,9.6
1/6/2015,13:00:00,null,30.4,56,8.6
1/6/2015,14:00:00,null,32.1,48,8.6
1/6/2015,15:00:00,null,32.7,44,10.4
1/6/2015,16:00:00,null,32.4,44,10.1
1/6/2015,17:00:00,null,32.9,46,10
1/6/2015,18:00:00,null,34.1,44,11
1/6/2015,19:00:00,null,31.7,54,10.5
1/6/2015,20:00:00,null,29,63,10.5
1/6/2015,21:00:00,null,27.8,69,10.5
1/6/2015,22:00:00,null,26.9,75,8.9
1/6/2015,23:00:00,null,26.3,80,7.3
1/7/2015,0:00:00,null,25.9,83,6.4
1/7/2015,1:00:00,null,25.6,84,5.2
1/7/2015,2:00:00,null,25.5,84,5.9
1/7/2015,3:00:00,null,25.4,84,5.9
1/7/2015,4:00:00,null,25.3,83,5
1/7/2015,5:00:00,null,25,83,5.1
1/7/2015,6:00:00,null,25,85,4.7
1/7/2015,7:00:00,null,24.7,86,4
1/7/2015,8:00:00,null,24.7,87,4.6
1/7/2015,9:00:00,null,24.9,85,7.3
1/7/2015,10:00:00,null,25.4,83,6.4
1/7/2015,11:00:00,null,26.6,74,11.7
1/7/2015,12:00:00,null,28.2,69,9.9
1/7/2015,13:00:00,null,28,68,10.1
1/7/2015,14:00:00,null,28.3,69,10.1
1/7/2015,15:00:00,null,30,58,11.4
1/7/2015,16:00:00,null,32.2,54,10.9
1/7/2015,17:00:00,null,31.8,55,11.7
1/7/2015,18:00:00,null,30.8,56,11.8
1/7/2015,19:00:00,null,30,57,12.2
1/7/2015,20:00:00,null,28.6,64,11.4
1/7/2015,21:00:00,null,27.1,69,11.4
1/7/2015,22:00:00,null,26.2,76,9.8
1/7/2015,23:00:00,null,25.6,80,8.3
1/8/2015,0:00:00,null,25.1,82,7
1/8/2015,1:00:00,null,24.8,84,6.4
1/8/2015,2:00:00,null,24.5,86,5.5
